LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
A0A0A0MTC1;A0A0A0MTR7;Q63HN8	23.4541265621946	23.1251037859491	23.136679522851	22.8201657151243	23.127561770952	23.1228609123936	22.9726012308266	23.1243603280653	23.1009324282524	23.7093564735977	23.7266081689485	23.5754247590989	23.6416310830257	24.0400093891829	23.3809978834274	23.4714718051344	23.413384142942	23.363859907572
Q13418;A0A0A0MTH3	23.9500247098922	23.7354155420463	23.8741769054358	23.7626350799292	24.0842387549725	24.0512567438434	24.1128301736078	24.2586091622823	23.9894520182238	23.6301204516345	23.5871493789769	23.7526664783268	23.9126905591185	24.0844009740136	24.0149521570343	23.9139689774927	24.0813156888289	23.9400196020174
A0A0A0MTI1;Q15392	23.3111895313799	23.2824900760911	23.4309937268345	23.5646509796521	23.6550247837113	23.6682816697644	23.6896221285184	23.8950426932991	23.8374970474973	22.9428852914332	23.0862380502389	23.1203872120084	22.8797208408568	23.0479988251247	23.1663663009193	22.7684621967339	23.2045621894637	23.1581945833916
A0A0A0MTI5;B8ZWD1;P07108	26.2045621894637	26.4213844249269	26.5141396254216	27.2130813711239	27.1189206425247	27.0180763698741	26.7801915097535	26.8808700376524	26.7156798931338	26.944695799124	27.0888144366957	27.0403020971904	26.8870441225057	26.7323390737521	26.7562091501776	26.7210370062654	26.7674926435785	26.7377637168235
A0A0A0MTI6;Q9NYP7	23.9527817644111	24.0473509399588	24.0479536266125	23.9837311750958	24.4548796000756	23.8857648797111	23.8827940864587	24.0123967539202	23.8440268285314	24.0624902857767	23.9393398626258	23.9785022986973	24.0156328341126	24.0041213035154	24.1125120490109	24.3013839936081	24.1712802516408	23.7631418399334
Q6PIU2;A0A0A0MTJ9;H7C046	23.689231923085	23.6297870475486	23.517252237289	23.7851650755267	23.7040876961367	23.5174925462828	23.9003044720038	24.035317966299	24.0541584674565	23.2896834670594	23.152625880164	23.0606702074914	23.2678519571886	22.8538425473763	23.2841858682827	23.381658065126	23.2872896530608	23.4444275237742
Q13617;A0A0A0MTN0;Q5T2B5	22.3402804303536	22.8667265454313	22.8092539325595	22.6814245918268	22.8887774302266	22.7147567376228	22.807868250704	22.8752870726203	22.8530673790276	22.0695638371137	22.4247057304343	22.1244255275411	22.6211169423733	22.5467729669634	22.5841927303617	22.879533893034	22.6503515508961	22.7209623009123
Q9Y3B3;A0A0A6YYA0	25.3099067813101	25.3120209760523	25.4429100952452	25.3768317774646	25.5099639058186	25.601814078691	25.5017278709603	25.4852669727249	25.573461358428	25.2867963155564	25.2006391295848	25.3827137278757	25.3333696701024	25.2066501342715	25.1402809012721	25.2872896530608	25.224718306066	25.3181726135266
A0A0A6YYJ8;Q9Y383	22.6174414576922	22.9449772295577	22.8749648430858	23.6843171607313	23.736035212057	23.6283414055013	23.5483967359291	23.5351652441844	23.4808680867948	23.2707059542438	22.9819135382174	23.1213615071444	23.1111273901638	23.0221002361292	23.3389213204642	22.2767378201808	22.8087631164504	22.3333628451221
A0A0B4J1Z1;C9JAB2;Q16629	25.8891814144662	25.5340894025791	25.4765981895235	25.2178213575545	25.4148570572872	25.3696808268249	25.4236947757687	25.4083541297812	25.430725213807	25.3514444997464	25.6453468529446	25.4333964180001	25.5103916295469	25.4519272932966	25.5061868889366	25.4544717533488	25.4368997503223	25.4164905502127
