logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant
-0.427856535262823	25.4269866228937	-7.13489839290856	5.12658658889138e-07	1.04366016603627e-05	6.19925665560326	P43490;A0A7P0T9I9;A0A7P0T895;A0A7P0T931;A0A7P0T8L3;A0A7P0T862;A0A7P0T973;A0A7P0TAS5;A0A7P0T8D2;A0A0C4DFS8	8	-7.62949637678441	7.03319784964747e-08	1.61349833021324e-06	NAMPT	FALSE
0.764038702898233	22.3654672422819	7.66929490906572	1.69357634019228e-07	4.07712822638883e-06	7.31617000571861	O95202	1	7.62054099195697	7.17757191023228e-08	1.62747270057592e-06	LETM1	FALSE
-0.604707460947658	26.9619678454196	-7.101135312358	5.5052614281989e-07	1.09543467193754e-05	6.12739486081085	P15559;B4DLR8;H3BRK3;H3BNV2	8	-7.61502295824859	7.26804088525798e-08	1.62904364669575e-06	NQO1	FALSE
0.330651637052551	25.4590826903993	6.25516553445204	3.44726770271271e-06	5.01070943312364e-05	4.27860878281125	Q9P2E9;A0A087WVV2;F8W7S5	18	7.55111234527418	8.40521834623329e-08	1.86251997444942e-06	RRBP1	FALSE
0.393101417828181	24.6036982421826	6.55606371280182	1.77621763055384e-06	2.98588308584482e-05	4.94654984412533	Q9BUF5;K7ESM5	14	7.5124826112593	9.17954413142261e-08	2.01124843328922e-06	TUBB6	FALSE
-0.568083228326596	25.4466613579936	-7.58428371279669	2.01470203834689e-07	4.62196349973699e-06	7.14109147083169	O95302	4	-7.47907486645002	9.9080507316662e-08	2.14514266327456e-06	FKBP9	FALSE
-0.79378616061517	23.554524054216	-7.71263536615878	1.5506847074742e-07	3.77979397446837e-06	7.40504801700135	P39060	2	-7.47457255817281	1.00106657619479e-07	2.14514266327456e-06	COL18A1	FALSE
-0.605637359948592	25.8003718573764	-7.11854064455238	5.30658002646231e-07	1.06678670635067e-05	6.16445962489982	A0A286YF22;O43175;A0A2C9F2M7;A0A286YFA2;A0A286YFL2	6	-7.4499519964029	1.05913950441413e-07	2.24491525392126e-06	PHGDH	FALSE
-0.529214534433262	24.699664004654	-7.35762080244143	3.21607311450641e-07	6.96815841476388e-06	6.66946508696374	A0A087WTA8;P08123	5	-7.43914845243881	1.08570138307136e-07	2.27647064192382e-06	COL1A2	FALSE
-0.451430573712269	23.0399533846558	-7.53557011435702	2.22643774100438e-07	4.99029148845809e-06	7.04032180086025	Q7Z6Z7	5	-7.43108559163058	1.10596912718511e-07	2.29429765745848e-06	HUWE1	FALSE
-0.56785087707236	23.3857851747082	-7.95808722325841	9.45774327082973e-08	2.52638347645452e-06	7.90353694227032	K7ELC2;P62841;K7EM56;A0A0B4J2B4;K7EJ78;S4R417;K7EQJ5;S4R456	1	-7.40985172251582	1.16122097491092e-07	2.38355884323819e-06	RPS15	FALSE
-0.501277569438358	24.2639048682939	-8.1992989198287	5.86360281815938e-08	1.69266851323113e-06	8.38536826561971	P12955;K7ES25;A0A494C165;A0A494C194	3	-7.3635543149543	1.2917120326066e-07	2.6188760659747e-06	PEPD	FALSE
0.581073475833378	24.8774515363136	7.77397327517568	1.36940782996585e-07	3.51361219530712e-06	7.53039351639694	P36542	3	7.35986945572312	1.30272296615152e-07	2.6188760659747e-06	ATP5C1	FALSE
-0.557115207110602	24.7850749145879	-7.84023022772544	1.19800460461285e-07	3.1148119719934e-06	7.66521179573757	P05362	3	-7.33526260787503	1.37875987872615e-07	2.74345077909795e-06	ICAM1	FALSE
-0.259119724014081	29.6967885779923	-5.67150206998935	1.28716307722452e-05	0.000141009438235271	2.95357971885236	P06733;A0A2R8Y6G6	19	-7.23707540099505	1.73035037052886e-07	3.40826588134473e-06	ENO1	FALSE
0.445930692480946	24.5017423272672	6.72866722585154	1.22059720101099e-06	2.16378594724675e-05	5.32463544160515	J3KTA4;P17844;A0A0G2JLI4;A0A7I2V507;A0A7I2V2S0;A0A7I2V5F5	8	7.20245439261483	1.87519149039571e-07	3.65325568763675e-06	DDX5	FALSE
-0.497433569332166	24.76405125872	-7.44804526622114	2.66646550875185e-07	5.90864516143875e-06	6.8584533287031	P31937	4	-7.19856996647229	1.89219909975032e-07	3.65325568763675e-06	HIBADH	FALSE
-0.390164956771642	28.3938609379309	-6.1747671905613	4.12336652499485e-06	5.7728518891298e-05	4.09830930334364	P29401;A0A0B4J1R6	18	-7.17907162979006	1.97998783617687e-07	3.74974643384708e-06	TKT	FALSE
-0.670113418389366	26.0091528982713	-6.9126396175906	8.21823455045446e-07	1.57113307582218e-05	5.72341484065732	Q6ZN40	5	-7.1789311368673	1.98063529582692e-07	3.74974643384708e-06	TPM1	FALSE
0.506583053829754	25.368321249181	6.66889452146835	1.38932205081239e-06	2.41890892775372e-05	5.19413207621297	P62701	8	7.14635579572451	2.13676658322118e-07	4.00643734353972e-06	RPS4X	FALSE
-0.205825138696532	27.7592040123303	-4.66923904129705	0.000133755508218135	0.000951909638778701	0.611181464165864	A0A087WVQ6;Q00610	55	-7.0926705617112	2.42210293019793e-07	4.49819115608187e-06	CLTC	FALSE
-0.296902545133079	27.2667226936498	-6.4589576229817	2.19730019160512e-06	3.51207817510654e-05	4.73219717666027	P07602;C9JIZ6	9	-7.08005753488425	2.49462368753581e-07	4.58916621763664e-06	PSAP	FALSE
