LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
Q9Y3B3;A0A0A6YYA0	25.3099067813101	25.3120209760523	25.4429100952452	25.3768317774646	25.5099639058186	25.601814078691	25.5017278709603	25.4852669727249	25.573461358428	25.2867963155564	25.2006391295848	25.3827137278757	25.3333696701024	25.2066501342715	25.1402809012721	25.2872896530608	25.224718306066	25.3181726135266
A0A0A6YYJ8;Q9Y383	22.6174414576922	22.9449772295577	22.8749648430858	23.6843171607313	23.736035212057	23.6283414055013	23.5483967359291	23.5351652441844	23.4808680867948	23.2707059542438	22.9819135382174	23.1213615071444	23.1111273901638	23.0221002361292	23.3389213204642	22.2767378201808	22.8087631164504	22.3333628451221
Q5W0H4;A0A0B4J2C3;P13693;J3KPG2;E9PJF7;H0YCX0	26.2487459910599	26.1231904362615	25.8822469335166	26.4422615401166	26.4605617585495	26.5640258352948	26.6879247352996	26.7682501626513	26.7278029044999	26.3725539781834	26.4780309274913	26.4303619413807	26.352960201207	26.0994282377215	26.1642101412124	26.0266912693572	26.171749309599	26.0190526265221
A0A0C4DFM1;Q92544	24.1637688180377	24.2254539996265	24.1809380569417	24.3310131339136	24.4958247804911	24.553854716152	24.3132672453018	24.6813173481887	24.4706032722949	24.4604523965988	24.1163249221676	23.9943810617292	24.5484555338441	24.5705691417485	24.4250237702504	24.4749407171659	24.8325802431736	24.3440113940998
A0A0C4DFV9;Q01105;P0DME0	25.3555164423604	25.6899783561026	25.3919507419312	25.387947628123	25.6488062915746	25.66329489204	25.532967959856	25.2054573929927	25.4100227227402	25.8237409885183	26.0461438204497	26.0196889599131	25.9457006558274	25.9625887502581	25.9907507685359	25.7472208442424	25.503154373794	25.5006950527874
A0A0C4DFZ2;P15289	22.7648432508798	22.9755429345217	22.8321552620381	22.5086710545587	22.6087610641737	22.4111871777936	22.7024187535907	22.6457261486125	22.5618808404421	23.3702606355093	23.1176094958044	23.3835049683201	23.1566120817291	23.344079140574	23.2598305979336	23.2298016377081	23.273696587155	23.2901054928166
C9J9K3;A0A0C4DG17;P08865;F8WD59	26.5760017217304	26.6585359860302	26.6920556711352	26.7523857511883	26.414174877432	26.589637203911	26.7569726155549	26.8658491629642	26.9393247107855	26.5437883529031	26.5040035353065	26.6437516205334	26.668849718518	26.4963125482384	26.6186292576641	26.6340875984775	26.5916357922548	26.5263261034328
A0A0C4DG89;Q7L014	23.0654444040779	23.198055298081	23.2099845733587	23.5544989202444	23.5339779385122	23.6457041631805	23.0908909722412	23.3527245299864	23.3475975806504	23.1636766987804	23.1757097388604	23.0050289406851	23.3951910261761	23.4928947057781	23.5153283229637	23.429819436852	23.3178277104575	23.608174492716
A0A0C4DGA2;O75521	24.9706192053893	25.1316726766333	24.8624951003882	24.8615488846785	24.9479311680851	24.8834360736511	25.1208396595713	25.0967167628003	25.0511322537415	24.4096343621005	24.2655646875206	24.2948798432309	24.4490962396614	24.273127420547	24.2144531243852	24.4134487089445	24.3723214863201	24.338989306376
A0A0C4DGB5;E9PCH5;A0A6Q8PG72;A0A6Q8PH20;A0A6Q8PGG5;P20810;B7Z574;E7ES10;A0A6Q8PFE5;E7EVY3;A0A6Q8PFF6;A0A6Q8PGN6;E9PDE4;H0Y7F0;E7EQ12;E7EQA0;H0Y9H6	24.986373643289	25.1840826291078	25.2342166312937	25.044935690084	24.9582801170546	24.8748335500251	24.9000280142007	24.9630078786435	25.0894207384659	25.03586328972	25.0208124634364	25.1268767922444	25.158577947963	25.0498036904859	25.1780146617349	25.0171631843496	25.0985651357102	25.1179502708777
